Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,,,,,
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,SBI General Insurance,Hospital Daily Cash Insurance Policy,17162.51,False,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,Care Health Insurance,Super Top-up Health Insurance,15465.87,False,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,ICICI Lombard General Insurance,Personal Protect,19403.21,False,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,Kotak Mahindra Health Insurance,Critical Illness Cover,19356.29,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,Zuno General Insurance (Edelweiss),Top-up Insurance,9947.13,True,"Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, No room rent limit, Annual health check-ups"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,14626.73,Niva Bupa Health Insurance,MoneySaver,10892.49,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6852.91,,,,,
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6852.91,United India Insurance Company,Super Top-up Medicare Policy,4562.75,True,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6852.91,Exide Life Insurance,Hospital Cash Benefit,5726.97,True,"No claim bonus benefits, Critical illness coverage, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Pre and post-hospitalization expenses, Organ donor expenses covered"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6852.91,Future Generali India Insurance,Health Suraksha,6831.13,False,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6852.91,The New India Assurance,Top-up Mediclaim Policy,9456.74,False,"Annual health check-ups, Critical illness coverage, Maternity and newborn cover, Health and wellness rewards program, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Personal accident insurance"
Yashoda Hospitals,"Yashoda Hospitals, Ghousia Masjid Line, Khanmet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana",Hyderabad,Telangana,500081,9987393349,India,17.4622687,78.3841760,General Medicine,"Advanced Cardiac Care Center, Dedicated Women's and Children's Hospital Wing, Minimally Invasive Surgical Procedures, Telemedicine Consultations",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17956.56,,,,,
