Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17108.78,,,,,
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17108.78,Digit Insurance,Arogya Sanjeevani Policy,12132.58,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,,,,,
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,ICICI Lombard General Insurance,Personal Protect,12661.49,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,Aviva Life Insurance,Health Secure Plan,12933.11,True,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,Kotak Mahindra Health Insurance,Kotak Health Care Plan,19481.11,False,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,Shriram General Insurance,Mediclaim Policy,9336.92,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,17755.78,Tata AIG General Insurance,Arogya Sanjeevani Policy,8482.83,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,2307.93,,,,,
Aster Medcity,"Aster Medcity, Aster Medicity Road, Kothad, Cheranallur, Kanayannur, Ernakulam, Kerala",Cheranallur,Kerala,682027,8579932059,India,10.0439326,76.2739000,General Medicine,"Comprehensive cardiac care center with 24/7 emergency services, Dedicated women's health center offering specialized prenatal and postnatal care, Advanced diagnostic imaging technology including MRI, CT scans, and PET scans, Dedicated fast-track services for common ailments and minor injuries",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,2307.93,ICICI Lombard General Insurance,Health Booster,1543.74,True,"Maternity and newborn cover, Second medical opinion service, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability, Health and wellness rewards program, Coverage for chronic disease management"
