Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1668.05,,,,,
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1668.05,Niva Bupa Health Insurance,Health Premia,1661.10,False,"Organ donor expenses covered, Daycare treatment coverage, Coverage for chronic disease management, No claim bonus benefits, Health and wellness rewards program, Automatic restoration of sum insured"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1668.05,SBI General Insurance,Hospital Daily Cash Insurance Policy,1351.88,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6796.93,,,,,
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6796.93,Shriram General Insurance,Critical Illness Cover,4762.93,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6796.93,The New India Assurance,Premier Mediclaim Policy,4007.40,True,"Pre and post-hospitalization expenses, Annual health check-ups, Unlimited teleconsultations, Health and wellness rewards program, Coverage for alternative treatments (AYUSH)"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6796.93,Liberty General Insurance,Health Connect Supra Policy,5298.75,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6796.93,Tata AIG General Insurance,Arogya Sanjeevani Policy,4264.89,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9284.26,,,,,
Government Medical College,"Government Medical College, parippally road, Paripally, Kollam, Kerala",Paripally,Kerala,691574,7166954371,India,8.8114405,76.7499316,General Medicine,"Access to cutting-edge medical technology, Comprehensive range of specialties, including rare disease expertise, Subsidized or free healthcare for low-income patients, Dedicated research and clinical trial opportunities, /7 emergency services with specialized trauma care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,9284.26,Tata AIA Life Insurance,Arogya Sanjeevani Policy,5504.34,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
