Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7754.30,,,,,
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7754.30,HDFC ERGO General Insurance,Health Suraksha,10735.49,False,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7754.30,Liberty General Insurance,Health Connect Supra Policy,4239.79,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7754.30,PNB MetLife Insurance,Health Shield Plan,6208.51,True,"Health and wellness rewards program, Critical illness coverage, Coverage for chronic disease management, Second medical opinion service, Tax benefits under Section 80D"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,,,,,
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,SBI General Insurance,Hospital Daily Cash Insurance Policy,13213.99,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,The New India Assurance,Cancer Guard Policy,15080.48,False,"Daycare treatment coverage, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, Annual health check-ups"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,Reliance General Insurance,Arogya Sanjeevani Policy,19356.82,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,Oriental Insurance Company,Arogya Sanjeevani Policy,9311.76,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Jubilee Mission Medical College and Research Institute,"Jubilee Mission Medical College and Research Institute, Mannamangalam Road, Mission Quarters, Chelakkottukara, Thrissur, Kerala",Thrissur,Kerala,680005,8080201459,India,10.5208016,76.2274227,General Medicine,"State-of-the-art diagnostic imaging center, /7 emergency services with dedicated trauma care, Comprehensive cardiology department with advanced interventional procedures, Specialized pediatric care unit with experienced neonatologists, Dedicated palliative care program",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15749.02,ICICI Lombard General Insurance,Complete Health Insurance,8814.84,True,"Maternity and newborn cover, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, No room rent limit, Critical illness coverage, No claim bonus benefits"
