Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22904.71,,,,,
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,,,,,
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,Magma HDI General Insurance,Critical Illness Insurance,7192.02,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,Bajaj Allianz General Insurance,Arogya Sanjeevani Policy,9098.71,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,Digit Insurance,Critical Illness Cover,11928.31,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,ManipalCigna Health Insurance,Lifetime Health,12475.04,True,"Tax benefits under Section 80D, Organ donor expenses covered, Ambulance cover, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), No room rent limit, Lifelong renewability"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,United India Insurance Company,Family Medicare Policy,19013.52,False,"Critical illness coverage, Maternity and newborn cover, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Annual health check-ups, No claim bonus benefits, No room rent limit"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15263.11,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,9728.18,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1731.96,,,,,
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1731.96,Kotak Mahindra Health Insurance,Kotak Secure Shield,1253.59,True,"Organ donor expenses covered, Unlimited teleconsultations, Health and wellness rewards program, Daycare treatment coverage, Tax benefits under Section 80D, Critical illness coverage"
KIMS Hospital,"KIMS Hospital, Chittakkattu Colony Road, kudamaloor, Kottayam, Kerala",Kottayam,Kerala,686017,9264391813,India,9.6242660,76.5179207,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Robotic Surgery Suite, Comprehensive Cancer Care Program, Dedicated Women's Health Center",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,1731.96,ICICI Lombard General Insurance,Health Booster,1123.27,True,"Maternity and newborn cover, Second medical opinion service, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability, Health and wellness rewards program, Coverage for chronic disease management"
