Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16456.92,,,,,
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16456.92,Reliance General Insurance,Corona Kavach Policy,11887.38,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16456.92,SBI General Insurance,Super Health Insurance,11573.59,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,16456.92,Kotak Mahindra Health Insurance,Kotak Super Top-up Plan,12616.63,True,"No claim bonus benefits, International emergency coverage, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18442.54,,,,,
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18442.54,Aviva Life Insurance,Critical Illness Cover,18400.91,False,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18442.54,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,19405.81,False,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18442.54,PNB MetLife Insurance,Critical Illness Rider,10108.70,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5288.56,,,,,
Kallissery Hospital,"Kallissery Hospital, Kallissery - Mannar Road, Ambeerethupadi, Kallissery, Chengannur, Alappuzha, Kerala",Kallissery,Kerala,689124,9632411166,India,9.3331319,76.5937470,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5288.56,Cholamandalam MS General Insurance,Arogya Sanjeevani Policy,3879.71,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
