Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21046.58,,,,,
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,12999.47,,,,,
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,12999.47,Future Generali India Insurance,Health Absolute,10552.65,True,"Annual health check-ups, Ambulance cover, Pre and post-hospitalization expenses, No claim bonus benefits, Tax benefits under Section 80D, Automatic restoration of sum insured, Second medical opinion service"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,12999.47,Kotak Mahindra Health Insurance,Kotak Secure Shield,10405.88,True,"Organ donor expenses covered, Unlimited teleconsultations, Health and wellness rewards program, Daycare treatment coverage, Tax benefits under Section 80D, Critical illness coverage"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,12999.47,Aviva Life Insurance,Health Protection Plus,7761.19,True,"Cashless hospitalization across network hospitals, Lifelong renewability, No room rent limit, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH)"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,12999.47,Liberty General Insurance,Janta Personal Accident Insurance Policy,17171.85,False,"International emergency coverage, Critical illness coverage, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance, Coverage for chronic disease management, Pre and post-hospitalization expenses"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8064.36,,,,,
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8064.36,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,10962.90,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8064.36,Care Health Insurance,Family Health Insurance Plan,4487.09,True,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
lakshmi hospital,"lakshmi hospital, Karukachal - Manimala Road, Plackalpady, Pathanad, Changanassery, Kottayam, Kerala",Pathanad,Kerala,686541,9219396099,India,9.5125332,76.7025226,General Medicine,"/7 Emergency Care, State-of-the-art Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8064.36,Shriram General Insurance,Arogya Sanjeevani Policy,5110.81,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
