Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,637.45,,,,,
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,637.45,Magma HDI General Insurance,Super Top-up Insurance,605.82,False,"Daycare treatment coverage, Coverage for chronic disease management, International emergency coverage, No room rent limit, Health and wellness rewards program, Personal accident insurance"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,637.45,Reliance General Insurance,Critical Illness Insurance,468.80,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,637.45,Digit Insurance,Digit Super Top-up Health Insurance,629.48,False,"International emergency coverage, No claim bonus benefits, Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,,,,,
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,Tata AIG General Insurance,Critical Illness Policy,23108.59,False,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,Aditya Birla Health Insurance,Activ Care Classic,9808.06,True,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,Future Generali India Insurance,Health Elite,11756.61,True,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,9792.86,True,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
MIMS Hospital's Blood Bank,"MIMS Hospital's Blood Bank, Mini Byepass Road, Kuthiravattom, Thiruthiyad, Kozhikode, Kerala",Kozhikode,Kerala,673016,8532931384,India,11.2462991,75.7985039,General Medicine,"/7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite including MRI and PET Scan, Comprehensive Cancer Care Program with multidisciplinary approach, Dedicated Women's Health Center offering specialized prenatal and postnatal care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,16607.83,Shriram General Insurance,Personal Accident Insurance,9008.59,True,"Annual health check-ups, Organ donor expenses covered, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Critical illness coverage"
