Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,,,,,
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Reliance General Insurance,HealthGain,3433.72,True,"Unlimited teleconsultations, Organ donor expenses covered, Cashless hospitalization across network hospitals, Annual health check-ups, Critical illness coverage, Maternity and newborn cover"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,United India Insurance Company,Individual Health Insurance Policy,5970.40,True,"Organ donor expenses covered, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management, Health and wellness rewards program, No room rent limit, Coverage for alternative treatments (AYUSH)"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,ICICI Lombard General Insurance,Arogya Sanjeevani Policy,5010.15,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Care Health Insurance,Maternity Health Insurance,4447.22,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Oriental Insurance Company,PNB-Oriental Royal Mediclaim Policy,5126.09,True,"Unlimited teleconsultations, Coverage for chronic disease management, Cashless hospitalization across network hospitals, Second medical opinion service, Daycare treatment coverage, No claim bonus benefits, Tax benefits under Section 80D"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,4155.83,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Bharti AXA General Insurance,Arogya Sanjeevani Policy,5466.82,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Future Generali India Insurance,Health Elite,8222.54,False,"Annual health check-ups, No claim bonus benefits, Maternity and newborn cover, International emergency coverage, Cashless hospitalization across network hospitals, Second medical opinion service, Personal accident insurance"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7173.02,Universal Sompo General Insurance,Critical Illness Insurance Policy,6701.43,False,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14060.54,,,,,
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14060.54,Bharti AXA General Insurance,Smart Health Insurance Policy,9859.12,True,"Pre and post-hospitalization expenses, No claim bonus benefits, Critical illness coverage, Ambulance cover, Cashless hospitalization across network hospitals"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14060.54,ICICI Lombard General Insurance,Personal Protect,18606.36,False,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14060.54,Universal Sompo General Insurance,Arogya Sanjeevani Insurance,9579.93,True,"Lifelong renewability, Ambulance cover, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, International emergency coverage, Maternity and newborn cover"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,14060.54,Aditya Birla Health Insurance,Activ Assure Diamond,7165.39,True,"Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4514.94,,,,,
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4514.94,Tata AIG General Insurance,Medicare Protect,3107.41,True,"Health and wellness rewards program, No claim bonus benefits, Organ donor expenses covered, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH)"
Pallimukku Junction,"Pallimukku Junction, Mahatma Gandhi Road, Pallimukku, Ernakulam South, Ernakulam, Kanayannur, Ernakulam, Kerala",Ernakulam,Kerala,682016,9433152848,India,9.9645737,76.2872704,General Medicine,"State-of-the-art Cardiac Care Unit, Dedicated Oncology Center, On-site Pharmacy and Lab Services, Fast-Track Urgent Care Clinic",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,24270.25,,,,,
