Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,,,,,
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,United India Insurance Company,Individual Health Insurance Policy,1207.32,True,"Organ donor expenses covered, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management, Health and wellness rewards program, No room rent limit, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,Aditya Birla Health Insurance,Activ Health Platinum Essential,2360.13,False,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,Cholamandalam MS General Insurance,Arogya Sanjeevani Policy,1829.41,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,Zuno General Insurance (Edelweiss),Top-up Insurance,1569.29,True,"Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, No room rent limit, Annual health check-ups"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,Raheja QBE General Insurance,Corona Kavach Policy,1832.78,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1964.13,ICICI Lombard General Insurance,Corona Kavach Policy,887.17,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8280.00,,,,,
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8280.00,Exide Life Insurance,Arogya Sanjeevani Policy,9250.51,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8280.00,Aviva Life Insurance,Arogya Sanjeevani Policy,7504.93,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8280.00,Care Health Insurance,Maternity Health Insurance,6104.66,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,,,,,
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,14700.60,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,Tata AIG General Insurance,Arogya Sanjeevani Policy,19717.72,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,Care Health Insurance,Health Insurance Plan for Individuals,22112.41,False,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,ICICI Lombard General Insurance,Personal Protect,12845.23,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
Pushpagiri Medical College Hospital Road,"Pushpagiri Medical College Hospital Road, Manjadi, Thiruvalla, Pathanamthitta, Kerala",Thiruvalla,Kerala,689111,8090569202,India,9.3828540,76.5793513,General Medicine,"/7 emergency services with dedicated trauma care, Comprehensive cancer care program, Advanced diagnostic imaging facilities, Dedicated pediatric ward with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,20728.77,Shriram General Insurance,Personal Accident Insurance,10378.25,True,"Annual health check-ups, Organ donor expenses covered, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Critical illness coverage"
