Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17865.55,,,,,
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17865.55,Shriram General Insurance,Personal Accident Insurance,10594.24,True,"Annual health check-ups, Organ donor expenses covered, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Critical illness coverage"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17865.55,Acko General Insurance,Arogya Sanjeevani by ACKO,11633.01,True,"International emergency coverage, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Annual health check-ups, Maternity and newborn cover, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17865.55,Kotak Mahindra Health Insurance,Critical Illness Cover,12699.28,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,,,,,
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,Shriram General Insurance,Mediclaim Policy,820.09,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,HDFC ERGO General Insurance,Critical Illness Insurance,569.63,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,Tata AIA Life Insurance,Arogya Sanjeevani Policy,524.58,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,Liberty General Insurance,Health Connect Policy,843.86,True,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
"Government Medical College, Thrissur","Government Medical College, Thrissur, Medical college Road, Thrissur, Kerala",Thrissur,Kerala,680596,7496732351,India,10.6141609,76.1956489,General Medicine,"Advanced Cardiac Care Unit, Comprehensive Cancer Treatment Center, Dedicated Pediatric Ward, State-of-the-art Imaging Technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,1054.02,Future Generali India Insurance,Health Essential,851.65,True,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
