Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,,,,,
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,Raheja QBE General Insurance,Health QuBE Super Top-up Health Insurance,4734.70,False,"Health and wellness rewards program, No room rent limit, Daycare treatment coverage, Personal accident insurance, Ambulance cover, Unlimited teleconsultations, Organ donor expenses covered"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,HDFC ERGO General Insurance,Critical Illness Insurance,4147.64,False,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,Reliance General Insurance,Corona Kavach Policy,2756.09,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,Liberty General Insurance,Health Connect Supra Policy,2286.86,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3811.03,ManipalCigna Health Insurance,Prime Senior,2677.37,True,"No room rent limit, Second medical opinion service, Daycare treatment coverage, Pre and post-hospitalization expenses, Critical illness coverage, Tax benefits under Section 80D"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21810.15,,,,,
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21810.15,Oriental Insurance Company,Critical Illness Policy,16807.74,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21810.15,Bharti AXA General Insurance,Smart Super Health Insurance Policy,13590.70,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Apollo Gleneagles Hospitals,"Apollo Gleneagles Hospitals, Eastern Metropolitan Bypass, Kolkata, West Bengal",Kolkata,West Bengal,700054,9077919036,India,22.5746667,88.4015937,General Medicine,"Comprehensive Cardiac Care Center, /7 Emergency Services with Dedicated Trauma Care, International Patient Services and Support, Dedicated Wellness and Rehabilitation Programs",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,21810.15,Digit Insurance,Digit Super Top-up Health Insurance,13438.35,True,"International emergency coverage, No claim bonus benefits, Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured"
