Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17242.95,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17242.95,The New India Assurance,Premier Mediclaim Policy,17484.47,False,"Pre and post-hospitalization expenses, Annual health check-ups, Unlimited teleconsultations, Health and wellness rewards program, Coverage for alternative treatments (AYUSH)"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,17242.95,HDFC ERGO General Insurance,Optima Restore Individual,14197.94,True,"Second medical opinion service, No claim bonus benefits, Critical illness coverage, Coverage for chronic disease management, Tax benefits under Section 80D, Lifelong renewability, Maternity and newborn cover"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23912.57,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23912.57,Zuno General Insurance (Edelweiss),Health Insurance,18922.65,True,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Coverage for chronic disease management, Maternity and newborn cover, Unlimited teleconsultations, Tax benefits under Section 80D"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,ManipalCigna Health Insurance,Lifetime Health,12139.76,True,"Tax benefits under Section 80D, Organ donor expenses covered, Ambulance cover, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), No room rent limit, Lifelong renewability"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,Oriental Insurance Company,PNB-Oriental Royal Mediclaim Policy,11443.95,True,"Unlimited teleconsultations, Coverage for chronic disease management, Cashless hospitalization across network hospitals, Second medical opinion service, Daycare treatment coverage, No claim bonus benefits, Tax benefits under Section 80D"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,Niva Bupa Health Insurance,GoActive,11177.52,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,The New India Assurance,Mediclaim Policy,12418.97,True,"Lifelong renewability, Daycare treatment coverage, Health and wellness rewards program, Second medical opinion service, Coverage for chronic disease management, Pre and post-hospitalization expenses"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,Care Health Insurance,Health Insurance Plan for Individuals,8025.18,True,"Health and wellness rewards program, Ambulance cover, Unlimited teleconsultations, Personal accident insurance, Critical illness coverage, Coverage for chronic disease management, Organ donor expenses covered"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,14927.06,Aditya Birla Health Insurance,Activ Health Platinum Essential,10160.54,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,10254.83,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,18210.59,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,18210.59,Acko General Insurance,ACKO Platinum Super Top-up Health Insurance Policy,11523.18,True,"Maternity and newborn cover, Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,18210.59,Liberty General Insurance,Corona Kavach Policy,13119.94,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,18210.59,ICICI Lombard General Insurance,Personal Protect,14924.26,True,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,General Medicine,"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,18210.59,Care Health Insurance,Maternity Health Insurance,8488.36,True,"Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Maternity and newborn cover, Pre and post-hospitalization expenses, Second medical opinion service, Daycare treatment coverage"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,,,,,
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,Care Health Insurance,Super Top-up Health Insurance,6862.04,True,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,IFFCO Tokio General Insurance,Individual Medishield Policy,4392.15,True,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,Aditya Birla Health Insurance,Activ Health Platinum Enhanced,5000.61,True,"Health and wellness rewards program, Personal accident insurance, Pre and post-hospitalization expenses, No room rent limit, Daycare treatment coverage, Automatic restoration of sum insured"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,The New India Assurance,Top-up Mediclaim Policy,5068.09,True,"Annual health check-ups, Critical illness coverage, Maternity and newborn cover, Health and wellness rewards program, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Personal accident insurance"
Fortis Healthcare,"Fortis Healthcare, Rash Behari Avenue, Manoharpukur, Kolkata, West Bengal",Kolkata,West Bengal,700029,9271490549,India,22.5181685,88.3559132,Eye Care (Ophthalmology),"/7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Comprehensive cancer care program, Dedicated concierge services for personalized patient experience",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,8176.35,Reliance General Insurance,Critical Illness Insurance,6419.26,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
