Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5343.02,,,,,
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5343.02,Care Health Insurance,Family Health Insurance Plan,3422.18,True,"Organ donor expenses covered, Personal accident insurance, Daycare treatment coverage, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5343.02,Reliance General Insurance,Arogya Sanjeevani Policy,2554.81,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,5343.02,Aviva Life Insurance,Health Secure Plan,6778.28,False,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,,,,,
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,HDFC ERGO General Insurance,Arogya Sanjeevani Policy,14351.79,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,Bajaj Allianz General Insurance,Arogya Sanjeevani Policy,15010.80,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,Digit Insurance,Critical Illness Cover,13092.17,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,SBI General Insurance,Critical Illness Insurance Policy,12284.11,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Ruby General Hospital,"Ruby General Hospital, Anandapur Main Road, Kolkata, West Bengal",Kolkata,West Bengal,700107,8154242826,India,22.5134676,88.4030980,General Medicine,"On-site Cardiac Catheterization Lab, Dedicated Pediatric Unit, Same-Day Surgery Options, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,24059.74,Aditya Birla Health Insurance,Activ Care Classic,27266.52,False,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
