Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,6661.21,,,,,
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,,,,,
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,Aviva Life Insurance,Health Secure Plan,19807.11,False,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,HDFC ERGO General Insurance,Critical Illness Insurance,9222.62,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,15215.11,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,The New India Assurance,Cancer Guard Policy,19130.65,False,"Daycare treatment coverage, Pre and post-hospitalization expenses, Health and wellness rewards program, Lifelong renewability, Annual health check-ups"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,Exide Life Insurance,Hospital Cash Benefit,13073.72,True,"No claim bonus benefits, Critical illness coverage, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Pre and post-hospitalization expenses, Organ donor expenses covered"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,Niva Bupa Health Insurance,GoActive,14334.04,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,Bharti AXA General Insurance,Corona Kavach Policy,13773.40,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Tata Medical Centre Trust Blood Bank,"Tata Medical Centre Trust Blood Bank, Street 247, Action Area I, Kolkata, Bidhannagar, Kolkata, West Bengal",Kolkata,West Bengal,700156,7967079512,India,22.5772623,88.4798795,General Medicine,"Comprehensive cancer care program with multidisciplinary teams, /7 emergency services with dedicated trauma care, Dedicated cardiac care unit with advanced interventional procedures, Telemedicine consultations for remote patient access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,18700.81,Acko General Insurance,ACKO Standard Health Insurance Plan,12255.95,True,"Organ donor expenses covered, Annual health check-ups, Maternity and newborn cover, Pre and post-hospitalization expenses, No room rent limit, Second medical opinion service, Coverage for chronic disease management"
