Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15687.65,,,,,
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15687.65,PNB MetLife Insurance,Guaranteed Savings Plan with Health Cover,17651.73,False,"Pre and post-hospitalization expenses, Organ donor expenses covered, Health and wellness rewards program, Ambulance cover, Personal accident insurance"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15687.65,Aditya Birla Health Insurance,Activ Care Classic,16850.50,False,"Personal accident insurance, Cashless hospitalization across network hospitals, Tax benefits under Section 80D, Coverage for chronic disease management, Automatic restoration of sum insured, No claim bonus benefits, Maternity and newborn cover"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5430.92,,,,,
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5430.92,Aditya Birla Health Insurance,Activ Health Platinum Essential,4240.84,True,"Lifelong renewability, Coverage for alternative treatments (AYUSH), Ambulance cover, Daycare treatment coverage, Tax benefits under Section 80D, Maternity and newborn cover, Personal accident insurance"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5430.92,Magma HDI General Insurance,Corona Kavach Policy,2732.64,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,5430.92,Tata AIA Life Insurance,Tata AIA Vitality Health Insurance,3029.40,True,"Daycare treatment coverage, Personal accident insurance, Critical illness coverage, Ambulance cover, Coverage for chronic disease management, Tax benefits under Section 80D"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21962.46,,,,,
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21962.46,HDFC ERGO General Insurance,Optima Restore Individual,17400.01,True,"Second medical opinion service, No claim bonus benefits, Critical illness coverage, Coverage for chronic disease management, Tax benefits under Section 80D, Lifelong renewability, Maternity and newborn cover"
ब्रीच कँडी हॉस्पिटल,"ब्रीच कँडी हॉस्पिटल, Warden Road (Bhula Bhai Desai Marg), Breach Candy, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,9192911682,India,18.9725662,72.8042677,General Medicine,"Advanced Cardiac Care Unit, Dedicated Oncology Department, State-of-the-art Imaging Technology, Multi-lingual Staff",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,21962.46,Shriram General Insurance,Critical Illness Cover,17342.50,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
