Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11557.91,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,11557.91,Future Generali India Insurance,Health Essential,5312.48,True,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8413.30,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,Liberty General Insurance,Health Connect Supra Policy,5255.84,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,Tata AIG General Insurance,Critical Illness Policy,2994.50,True,"Pre and post-hospitalization expenses, Tax benefits under Section 80D, Critical illness coverage, Personal accident insurance, Unlimited teleconsultations, Second medical opinion service"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,Acko General Insurance,ACKO Standard Health Insurance Plan,3890.59,True,"Organ donor expenses covered, Annual health check-ups, Maternity and newborn cover, Pre and post-hospitalization expenses, No room rent limit, Second medical opinion service, Coverage for chronic disease management"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,3177.68,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,Exide Life Insurance,Arogya Sanjeevani Policy,7696.73,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,6328.94,ICICI Lombard General Insurance,Corona Kavach Policy,8623.16,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,4031.64,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,Aditya Birla Health Insurance,Activ Health Platinum Premiere,10557.22,True,"Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), No claim bonus benefits, Organ donor expenses covered, No room rent limit, Personal accident insurance, Health and wellness rewards program"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,United India Insurance Company,Arogya Sanjeevani Policy,13839.23,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,Bajaj Allianz General Insurance,Health Infinity Plan,20350.80,False,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,Digit Insurance,Digit Health Insurance,9796.08,True,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,20317.74,SBI General Insurance,Critical Illness Insurance Policy,13576.96,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,General Medicine,"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",General Medicine,CT Scan,GENCT709,A non-invasive imaging technique using X-rays to create detailed cross-sectional images of the body's internal structures.,BOTH,16049.03,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,Eye Care (Ophthalmology),"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,4946.12,,,,,
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,Eye Care (Ophthalmology),"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,4946.12,Aviva Life Insurance,Health Secure Plan,3172.85,True,"No room rent limit, Tax benefits under Section 80D, Organ donor expenses covered, Annual health check-ups, No claim bonus benefits"
Dr. L. H. Hiranandani Hospital,"Dr. L. H. Hiranandani Hospital, Cavendish Street, Hiranandani Gardens, Powai, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,8874028085,India,19.1201503,72.9169343,Eye Care (Ophthalmology),"State-of-the-art cardiac care center, Advanced robotic surgery capabilities, /7 emergency services with dedicated trauma care, Comprehensive cancer care program, Dedicated maternity and neonatal intensive care unit",Eye Care (Ophthalmology),Eye Examination,EYEEYE541,"Comprehensive eye health assessment to detect vision problems, eye diseases, and overall ocular well-being.",OUTPATIENT,4946.12,SBI General Insurance,Hospital Daily Cash Insurance Policy,6112.56,False,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
