Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24572.19,,,,,
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24572.19,ManipalCigna Health Insurance,ProHealth Prime,26715.17,False,"Ambulance cover, No claim bonus benefits, Health and wellness rewards program, Coverage for chronic disease management, Maternity and newborn cover, Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24572.19,Liberty General Insurance,Secure Health Connect Policy,16489.23,True,"Coverage for alternative treatments (AYUSH), Personal accident insurance, International emergency coverage, Daycare treatment coverage, Coverage for chronic disease management, Ambulance cover, Critical illness coverage"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24572.19,Kotak Mahindra Health Insurance,Arogya Sanjeevani Policy,31328.75,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,24572.19,Shriram General Insurance,Arogya Sanjeevani Policy,16268.80,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,10744.74,,,,,
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,10744.74,Magma HDI General Insurance,OneHealth Insurance Policy,6931.18,True,"Tax benefits under Section 80D, International emergency coverage, Ambulance cover, No claim bonus benefits, Daycare treatment coverage, Second medical opinion service"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,10744.74,IFFCO Tokio General Insurance,Individual Medishield Policy,14538.06,False,"Critical illness coverage, Organ donor expenses covered, Unlimited teleconsultations, Daycare treatment coverage, Ambulance cover, Cashless hospitalization across network hospitals, No room rent limit"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,10744.74,Liberty General Insurance,Health Connect Supra Policy,7539.63,True,"Ambulance cover, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Cashless hospitalization across network hospitals, Tax benefits under Section 80D"
N.G. Beauty Parlour,"N.G. Beauty Parlour, Shop No.8, Blue Nile Building, Near Hiranandani Hospital, , Cavendish Street, Hiranandani Gardens, Kanjur West, Zone 6, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400076,9596765676,India,19.1215198,72.9170548,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and PET scans, Multi-lingual staff for patient comfort and communication, Dedicated concierge services for personalized patient experience",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,10744.74,Tata AIG General Insurance,Arogya Sanjeevani Policy,6069.69,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
