Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,,,,,
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Oriental Insurance Company,Happy Family Floater Policy,3685.37,True,"Second medical opinion service, Critical illness coverage, Cashless hospitalization across network hospitals, Personal accident insurance, No claim bonus benefits, Coverage for chronic disease management"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,PNB MetLife Insurance,Family Floater Health Plan,3457.32,True,"Unlimited teleconsultations, Tax benefits under Section 80D, Second medical opinion service, International emergency coverage, Lifelong renewability"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Tata AIG General Insurance,Arogya Sanjeevani Policy,3577.84,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,5923.33,True,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Aditya Birla Health Insurance,Activ Assure Diamond,8122.12,False,"Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured, International emergency coverage, Tax benefits under Section 80D, Lifelong renewability"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Tata AIA Life Insurance,Cancer Care Plan,6238.00,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,7645.07,Bharti AXA General Insurance,Smart Super Health Insurance Policy,4934.22,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,3867.25,,,,,
Bandra Holy Family Hospital Society Blood Bank,"Bandra Holy Family Hospital Society Blood Bank, Hill Road, Ranwar Village Square, H/W Ward, Zone 3, Mumbai Suburban, Maharashtra",Mumbai Suburban,Maharashtra,400050,9031398952,India,19.0551005,72.8273311,General Medicine,"Advanced Cardiac Care Unit, On-site Pharmacy, Dedicated Pediatric Wing, Free Wi-Fi throughout the facility",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,3867.25,Cholamandalam MS General Insurance,Chola MS Top-up Healthline,3573.03,False,"Cashless hospitalization across network hospitals, Lifelong renewability, Second medical opinion service, Ambulance cover, Coverage for chronic disease management, Personal accident insurance, Coverage for alternative treatments (AYUSH)"
