Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4440.17,,,,,
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,15476.89,,,,,
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8389.18,,,,,
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,8389.18,Liberty General Insurance,Health Connect Policy,8215.34,False,"Tax benefits under Section 80D, Coverage for chronic disease management, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), International emergency coverage, Automatic restoration of sum insured, No room rent limit"
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24883.75,,,,,
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24883.75,Magma HDI General Insurance,Corona Kavach Policy,25152.61,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24883.75,Bharti AXA General Insurance,Smart Super Health Insurance Policy,15855.07,True,"Annual health check-ups, Personal accident insurance, Automatic restoration of sum insured, International emergency coverage, No room rent limit, Tax benefits under Section 80D, Ambulance cover"
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24883.75,ManipalCigna Health Insurance,Prime Senior,29659.55,False,"No room rent limit, Second medical opinion service, Daycare treatment coverage, Pre and post-hospitalization expenses, Critical illness coverage, Tax benefits under Section 80D"
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24883.75,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,16359.92,True,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
Jaslok Hospital and Research Centre,"Jaslok Hospital and Research Centre, Gopalrao Deshmukh Marg, Cumballa Hill, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400026,8314255354,India,18.9717005,72.8099257,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care program, Dedicated neurosciences department, /7 emergency services with fast-track options, Advanced diagnostic imaging technology",General Medicine,X-Ray,GENX-R816,A diagnostic imaging technique using electromagnetic radiation to visualize internal structures and detect abnormalities.,BOTH,11731.06,,,,,
