Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21859.77,,,,,
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21859.77,HDFC ERGO General Insurance,Arogya Sanjeevani Policy,12652.44,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21859.77,Aviva Life Insurance,Critical Illness Cover,16795.39,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21859.77,Cholamandalam MS General Insurance,Chola Healthline,12100.62,True,"Cashless hospitalization across network hospitals, Daycare treatment coverage, International emergency coverage, Unlimited teleconsultations, Personal accident insurance, Organ donor expenses covered"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,21859.77,Zuno General Insurance (Edelweiss),Top-up Insurance,23626.76,False,"Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, No room rent limit, Annual health check-ups"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18404.61,,,,,
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18404.61,Cholamandalam MS General Insurance,Arogya Sanjeevani Policy,12371.27,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18404.61,Niva Bupa Health Insurance,Health Premia,10830.31,True,"Organ donor expenses covered, Daycare treatment coverage, Coverage for chronic disease management, No claim bonus benefits, Health and wellness rewards program, Automatic restoration of sum insured"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18404.61,Raheja QBE General Insurance,Arogya Sanjeevani Policy,12487.36,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Mahatma Gandhi Mission's New Bombay Hospital,"Mahatma Gandhi Mission's New Bombay Hospital, Jambul Marg, Vashi, Navi Mumbai, Thane Taluka, Thane, Maharashtra",Navi Mumbai,Maharashtra,400703,7954932108,India,19.0726364,72.9938714,General Medicine,"State-of-the-art Cardiac Care Center, /7 Emergency Services with dedicated Trauma Team, Advanced Diagnostic Imaging Suite (MRI, CT Scan, PET Scan), Dedicated Oncology Department with Chemotherapy and Radiation Therapy, Fast-Track Services for Common Ailments",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,18404.61,Kotak Mahindra Health Insurance,Kotak Super Top-up Plan,12344.85,True,"No claim bonus benefits, International emergency coverage, Pre and post-hospitalization expenses, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured"
