Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,,,,,
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,HDFC ERGO General Insurance,Corona Kavach Policy,7921.40,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,Future Generali India Insurance,Health Essential,12863.22,True,"No room rent limit, Coverage for alternative treatments (AYUSH), Automatic restoration of sum insured, Annual health check-ups, No claim bonus benefits, Personal accident insurance"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,ManipalCigna Health Insurance,Prime Senior,7722.42,True,"No room rent limit, Second medical opinion service, Daycare treatment coverage, Pre and post-hospitalization expenses, Critical illness coverage, Tax benefits under Section 80D"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,Universal Sompo General Insurance,Super Healthcare Insurance,12984.25,True,"Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered, Second medical opinion service, Coverage for chronic disease management, Unlimited teleconsultations"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,15627.06,ICICI Lombard General Insurance,Personal Protect,15921.47,False,"Tax benefits under Section 80D, Critical illness coverage, Health and wellness rewards program, Daycare treatment coverage, Pre and post-hospitalization expenses, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH)"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,General Medicine,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,8342.29,,,,,
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,Cardiology,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",Cardiology,Echocardiogram,CARECH321,A non-invasive ultrasound imaging of the heart to assess its structure and function.,BOTH,21279.49,,,,,
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,Cardiology,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",Cardiology,Echocardiogram,CARECH321,A non-invasive ultrasound imaging of the heart to assess its structure and function.,BOTH,21279.49,Kotak Mahindra Health Insurance,Kotak Health Care Plan,11170.03,True,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,"P. D. Hinduja National Hospital And Medical Research Centre Blood Bank, Lt Prakash Kotnis Path, Kapad Bazar, G/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400016,7879767390,India,19.0333696,72.8381968,Cardiology,"State-of-the-art cardiac care facilities, Comprehensive cancer care center, /7 emergency services with dedicated trauma care, Advanced robotic surgery capabilities, Dedicated fast-track services for common ailments",Cardiology,Echocardiogram,CARECH321,A non-invasive ultrasound imaging of the heart to assess its structure and function.,BOTH,21279.49,Magma HDI General Insurance,Critical Illness Insurance,17254.37,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
