Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23854.58,,,,,
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23854.58,Cholamandalam MS General Insurance,Chola MS Family Health Insurance,13973.04,True,"Automatic restoration of sum insured, No room rent limit, Cashless hospitalization across network hospitals, Unlimited teleconsultations, Coverage for alternative treatments (AYUSH), Personal accident insurance"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23854.58,United India Insurance Company,Super Top-up Medicare Policy,22310.46,False,"Second medical opinion service, Critical illness coverage, Daycare treatment coverage, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23854.58,IFFCO Tokio General Insurance,Arogya Sanjeevani Policy,12501.54,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23529.13,,,,,
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23529.13,Universal Sompo General Insurance,Senior Citizen Health Insurance Policy,13830.84,True,"Coverage for chronic disease management, Organ donor expenses covered, Cashless hospitalization across network hospitals, Personal accident insurance, Second medical opinion service, Tax benefits under Section 80D"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23529.13,Care Health Insurance,Super Top-up Health Insurance,17098.37,True,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23529.13,Aviva Life Insurance,Critical Illness Cover,12561.95,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24586.80,,,,,
Saifee Hospital,"Saifee Hospital, Maharshi Karve Road, गिरगांव Girgaon, D Ward, Zone 1, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400004,7461517602,India,18.9525206,72.8181954,General Medicine,"/7 emergency services with dedicated trauma team, Advanced diagnostic imaging technology including MRI and PET scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,24586.80,Reliance General Insurance,Arogya Sanjeevani Policy,17440.56,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
