Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,,,,,
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,Care Health Insurance,Super Top-up Health Insurance,4182.99,False,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,2680.65,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,HDFC ERGO General Insurance,Health Suraksha,1977.45,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,Kotak Mahindra Health Insurance,Kotak Health Care Plan,4581.74,False,"Cashless hospitalization across network hospitals, Second medical opinion service, Coverage for chronic disease management, Coverage for alternative treatments (AYUSH), Personal accident insurance, Annual health check-ups"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,3710.20,Zuno General Insurance (Edelweiss),Critical Illness Cover,1998.83,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23979.64,,,,,
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,23979.64,Tata AIG General Insurance,Medicare Premier,29682.45,False,"Second medical opinion service, Health and wellness rewards program, Annual health check-ups, Pre and post-hospitalization expenses, Personal accident insurance, Organ donor expenses covered, Coverage for alternative treatments (AYUSH)"
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5736.19,,,,,
Sion Hospital,"Sion Hospital, Laxmibai Kelkar Marg, Guru Tegh Bahadur Nagar, F/N Ward, Zone 2, Mumbai City, Maharashtra",Mumbai City,Maharashtra,400022,8687703725,India,19.0363806,72.8598664,General Medicine,"Advanced Cardiac Care Center, On-site Diagnostic Imaging, Dedicated Pediatric Unit, Fast-Track Urgent Care",General Medicine,Urine Test,GENURI497,A comprehensive analysis of urine to detect abnormalities and diagnose various medical conditions.,BOTH,5736.19,Shriram General Insurance,Arogya Sanjeevani Policy,5961.14,False,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
