Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23797.76,,,,,
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23797.76,Digit Insurance,Corona Kavach Policy,12113.79,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23797.76,Star Health and Allied Insurance,Medi Classic Insurance Policy,14034.95,True,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,23797.76,Niva Bupa Health Insurance,GoActive,15585.15,True,"Lifelong renewability, No room rent limit, Pre and post-hospitalization expenses, Automatic restoration of sum insured, Coverage for alternative treatments (AYUSH), Unlimited teleconsultations, Second medical opinion service"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,,,,,
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,IFFCO Tokio General Insurance,Family Health Protector,1847.20,True,"Coverage for alternative treatments (AYUSH), International emergency coverage, Critical illness coverage, Tax benefits under Section 80D, No claim bonus benefits, Personal accident insurance"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,SBI General Insurance,Super Health Insurance,1856.38,True,"Critical illness coverage, Ambulance cover, Annual health check-ups, Daycare treatment coverage, Unlimited teleconsultations, Pre and post-hospitalization expenses, Tax benefits under Section 80D"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,Exide Life Insurance,Cancer Protection Plan,1919.72,True,"No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D, Pre and post-hospitalization expenses, Maternity and newborn cover, Unlimited teleconsultations"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,Bajaj Allianz General Insurance,Health Infinity Plan,2134.38,True,"Annual health check-ups, Maternity and newborn cover, Cashless hospitalization across network hospitals, Coverage for chronic disease management, No room rent limit"
"Wockhardt Hospitals, South Mumbai","Wockhardt Hospitals, South Mumbai, Dr Anand Rao Nair Marg, Agripada, E Ward, Zone 1, Mumbai City, Thane, Maharashtra",Mumbai City,Maharashtra,400011,9995354313,India,18.9752098,72.8239654,General Medicine,"/7 emergency services with dedicated trauma care, Advanced diagnostic imaging technology including MRI and CT scans, Comprehensive cancer care program with multidisciplinary approach, Dedicated pediatric unit with experienced pediatric specialists",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,3103.25,Care Health Insurance,Super Top-up Health Insurance,4000.97,False,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
