Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,,,,,
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,Star Health and Allied Insurance,Family Health Optima,3105.02,True,"Tax benefits under Section 80D, Pre and post-hospitalization expenses, Critical illness coverage, Annual health check-ups, Second medical opinion service, No claim bonus benefits"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,Shriram General Insurance,Critical Illness Cover,2370.45,True,"Second medical opinion service, Organ donor expenses covered, Daycare treatment coverage, Lifelong renewability, Maternity and newborn cover"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,HDFC ERGO General Insurance,My:Health Medisure Super Top-up,4324.60,False,"Health and wellness rewards program, Cashless hospitalization across network hospitals, Daycare treatment coverage, Ambulance cover, Maternity and newborn cover"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,Universal Sompo General Insurance,Critical Illness Insurance Policy,3111.56,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,4635.30,SBI General Insurance,Arogya Supreme Policy,2591.13,True,"No claim bonus benefits, Unlimited teleconsultations, Pre and post-hospitalization expenses, Personal accident insurance, Tax benefits under Section 80D, Critical illness coverage, Cashless hospitalization across network hospitals"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11213.04,,,,,
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,11213.04,Niva Bupa Health Insurance,MoneySaver,7212.50,True,"Lifelong renewability, Cashless hospitalization across network hospitals, Health and wellness rewards program, Tax benefits under Section 80D, No room rent limit, Second medical opinion service"
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,19886.86,,,,,
MGM Hospital,"MGM Hospital, MG road, Warangal, Warangal mandal, Warangal, Telangana",Warangal,Telangana,506007,9287263836,India,17.9898970,79.5931904,General Medicine,"Advanced Cardiac Care Unit, On-site Diagnostic Imaging, Dedicated Pediatric Ward, Fast-Track Urgent Care",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,19886.86,Liberty General Insurance,Corona Kavach Policy,26509.79,False,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
