Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1567.76,,,,,
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1567.76,Digit Insurance,Digit Health Insurance,2001.66,False,"No room rent limit, Pre and post-hospitalization expenses, Tax benefits under Section 80D, Second medical opinion service, Coverage for chronic disease management"
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1567.76,Magma HDI General Insurance,Critical Illness Insurance,753.93,True,"Annual health check-ups, Health and wellness rewards program, Automatic restoration of sum insured, Organ donor expenses covered, International emergency coverage, Cashless hospitalization across network hospitals"
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,1567.76,PNB MetLife Insurance,Health Shield Plan,2188.51,False,"Health and wellness rewards program, Critical illness coverage, Coverage for chronic disease management, Second medical opinion service, Tax benefits under Section 80D"
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6308.39,,,,,
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,6308.39,IFFCO Tokio General Insurance,Critical Illness Benefit Policy,8397.97,False,"International emergency coverage, Cashless hospitalization across network hospitals, Annual health check-ups, No room rent limit, Unlimited teleconsultations"
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,16673.83,,,,,
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,16673.83,Exide Life Insurance,Critical Illness Rider,8954.08,True,"Organ donor expenses covered, Unlimited teleconsultations, No room rent limit, No claim bonus benefits, Cashless hospitalization across network hospitals, Coverage for alternative treatments (AYUSH), Tax benefits under Section 80D"
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Preventive Health Checkup,GENPRE572,A comprehensive assessment to identify potential health risks and promote well-being.,BOTH,4165.44,,,,,
Prathima Institute Of Medical Sciences,"Prathima Institute Of Medical Sciences, SH7, Karimnagar Rural mandal, Karimnagar, Telangana",Telangana,Telangana,505415,9033079480,India,18.4981391,79.1515613,General Medicine,"State-of-the-art diagnostic imaging center, Comprehensive cardiology and neurology departments, /7 emergency services with dedicated trauma care, Dedicated outpatient fast-track clinic for common ailments, Multilingual staff for patient comfort",General Medicine,Executive Health Checkup,GENEXE542,"A comprehensive health assessment for executives, identifying potential risks and promoting proactive wellness.",OUTPATIENT,23207.72,,,,,
