Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,,,,,
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,Raheja QBE General Insurance,Health QuBE Comprehensive Health Insurance,1223.64,True,"Lifelong renewability, No room rent limit, Critical illness coverage, International emergency coverage, Tax benefits under Section 80D"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,The New India Assurance,Top-up Mediclaim Policy,2696.29,False,"Annual health check-ups, Critical illness coverage, Maternity and newborn cover, Health and wellness rewards program, Cashless hospitalization across network hospitals, Coverage for chronic disease management, Personal accident insurance"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,Tata AIG General Insurance,Medicare,1710.46,True,"Ambulance cover, Health and wellness rewards program, Second medical opinion service, Tax benefits under Section 80D, Coverage for alternative treatments (AYUSH)"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,Acko General Insurance,Corona Kavach by ACKO,1164.09,True,"International emergency coverage, Second medical opinion service, Daycare treatment coverage, Unlimited teleconsultations, Maternity and newborn cover, Coverage for chronic disease management"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,Exide Life Insurance,Arogya Sanjeevani Policy,1352.15,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,Tata AIA Life Insurance,Cancer Care Plan,1347.66,True,"Ambulance cover, Personal accident insurance, International emergency coverage, Daycare treatment coverage, Maternity and newborn cover, Automatic restoration of sum insured"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,2504.04,SBI General Insurance,Critical Illness Insurance Policy,2023.93,True,"Daycare treatment coverage, No room rent limit, Critical illness coverage, Health and wellness rewards program, Organ donor expenses covered"
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,931.07,,,,,
Priyadarshini hospital,"Priyadarshini hospital, 78, NH565, Vijayapuri North, Peddavoora mandal, Nalgonda, Telangana",Vijayapuri North,Telangana,508202,7506164508,India,16.5846413,79.3190140,General Medicine,"/7 Emergency Services, State-of-the-art Cardiac Care Unit, Dedicated Pediatric Ward with Experienced Pediatricians, On-site Pharmacy and Diagnostic Lab, Patient-centric Amenities including Comfortable Waiting Areas and Wi-Fi Access",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,931.07,SBI General Insurance,Hospital Daily Cash Insurance Policy,650.56,True,"Daycare treatment coverage, Critical illness coverage, Tax benefits under Section 80D, Health and wellness rewards program, Annual health check-ups"
