Provider Name,Address,City,State,Zip Code,Phone Number,Country,Latitude,Longitude,Provider Specialities,Provider Benefits,Service Category,Service Name,Service Code,Service Description,Setting,Standard Charge,Insurance Name,Plan Name,Negotiated Price,In Network,Insurance Benefits
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22363.95,,,,,
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22363.95,ManipalCigna Health Insurance,ProHealth Select,13821.05,True,"Tax benefits under Section 80D, Maternity and newborn cover, Automatic restoration of sum insured, Health and wellness rewards program, Lifelong renewability"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,General Checkup,GENGEN682,"A comprehensive assessment of your overall health, including physical examination, vital signs, and discussion of medical history.",OUTPATIENT,22363.95,Care Health Insurance,Super Top-up Health Insurance,22603.09,False,"Maternity and newborn cover, Personal accident insurance, Annual health check-ups, Tax benefits under Section 80D, Pre and post-hospitalization expenses"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Comprehensive Health Screening,GENCOM492,"A thorough evaluation of your overall health status through a combination of physical examination, lab tests, and risk assessments.",INPATIENT,9043.81,,,,,
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,,,,,
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,ICICI Lombard General Insurance,Corona Kavach Policy,16237.28,True,"Maternity and newborn cover, Organ donor expenses covered, Critical illness coverage, Personal accident insurance, Coverage for alternative treatments (AYUSH), Ambulance cover"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,Star Health and Allied Insurance,Medi Classic Insurance Policy,14550.72,True,"International emergency coverage, Lifelong renewability, No room rent limit, Ambulance cover, Unlimited teleconsultations, Daycare treatment coverage"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,HDFC ERGO General Insurance,Health Suraksha,12642.99,True,"Annual health check-ups, Health and wellness rewards program, Lifelong renewability, No claim bonus benefits, Coverage for chronic disease management, Critical illness coverage"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,Bajaj Allianz General Insurance,Family Health Insurance,25744.88,False,"Coverage for alternative treatments (AYUSH), Organ donor expenses covered, Health and wellness rewards program, Cashless hospitalization across network hospitals, No room rent limit, Second medical opinion service, International emergency coverage"
Sri Venkateswara Hospital,"Sri Venkateswara Hospital, Yawar Road, Jagtial, Jagtial mandal, Jagtial, Telangana",Jagtial,Telangana,505327,8727247442,India,18.7951734,78.9217714,General Medicine,"/7 Emergency Services, Advanced Cardiac Care Unit, Dedicated Women's Health Center, On-site Pharmacy, Free Wi-Fi throughout the facility",General Medicine,Blood Test,GENBLO894,Blood tests analyze blood components to diagnose and monitor various medical conditions.,INPATIENT,22959.88,Zuno General Insurance (Edelweiss),Arogya Sanjeevani Policy,10529.03,True,"Lifelong renewability, Maternity and newborn cover, No claim bonus benefits, Personal accident insurance, Ambulance cover, Annual health check-ups, Coverage for alternative treatments (AYUSH)"
